category,discounted_price,actual_price,discount_percentage,rating,rating_count,venta
4,94,232,32,4.2,780,1
2,182,395,65,4.1,5554,1
1,417,445,39,4.3,7758,1
1,417,172,75,4.3,5556,1
2,417,445,39,3.9,64705,1
4,273,347,45,4.0,314,1
4,19,131,34,4.0,14030,1
4,454,14,35,4.0,3271,1
1,393,42,58,4.3,30411,1
1,430,445,34,4.0,7601,1
2,52,316,67,4.0,92588,1
2,24,150,40,4.3,7636,1
1,376,445,50,4.4,9940,1
1,376,445,50,4.3,11330,1
1,376,445,50,4.3,9701,1
1,350,63,70,4.1,5730,1
4,398,448,39,3.8,4353,1
1,417,63,59,4.3,11006,1
4,9,125,39,3.9,5911,1
1,52,204,45,4.5,8656,1
2,235,375,62,4.4,2640,1
4,530,43,15,4.3,4049,1
4,330,11,64,3.7,1470,1
4,330,445,61,4.0,5380,1
2,523,26,17,3.8,10751,1
1,350,332,19,4.4,18139,1
1,10,193,56,4.3,53464,1
4,1,172,53,3.7,638,1
1,321,445,62,4.3,6255,1
1,321,445,62,4.3,6255,1
2,273,26,72,3.9,1193,1
4,336,349,31,3.9,82,0
4,516,1,6,4.1,7619,1
4,155,201,30,4.2,2737,1
1,549,127,45,4.2,27441,1
4,19,113,30,4.0,1765,1
1,243,265,31,4.0,43994,1
1,243,265,31,4.0,43994,1
1,163,201,26,4.0,43994,1
1,163,201,26,4.0,43994,1
1,467,67,49,4.2,42301,1
1,514,107,48,4.3,6547,1
1,549,140,47,4.5,5492,1
1,500,140,58,4.3,8188,1
1,500,140,58,4.3,8188,1
1,500,140,58,4.3,8188,1
4,296,284,5,3.7,1662,1
4,76,247,45,3.8,9791,1
1,327,265,4,4.4,18757,1
1,327,265,4,4.4,18757,1
1,327,265,4,4.4,18757,1
4,1,172,53,3.6,328,1
4,66,203,40,4.5,23484,1
2,350,408,45,4.1,1161,1
4,163,313,56,4.0,10234,1
4,278,352,41,4.0,3242,1
4,500,67,41,4.3,9695,1
4,311,408,56,4.2,3846,1
1,465,26,37,4.2,8258,1
1,314,265,9,4.1,3441,1
2,49,125,17,4.1,98250,1
2,273,445,67,3.8,928,1
2,109,75,14,4.2,58506,1
1,549,126,45,4.5,7317,1
7,28,41,0,4.5,5760,1
2,126,65,0,4.3,27508,1
1,430,380,5,4.3,2301,1
1,13,105,29,4.3,4723,1
1,54,240,52,4.3,408,1
1,127,445,83,3.5,2523,1
2,315,445,63,4.2,3492,1
1,549,90,35,4.4,7318,1
1,62,127,12,4.4,1951,1
1,430,417,21,4.5,474,1
1,52,127,17,4.4,1951,1
1,430,417,21,4.5,577,1
1,29,127,28,4.4,7318,1
1,29,208,52,4.3,23022,1
2,260,313,38,3.7,10962,1
2,260,313,38,3.7,10962,1
2,19,172,47,4.0,33584,1
2,76,316,60,4.1,55192,1
1,72,204,37,4.4,24780,1
2,393,349,8,4.2,21916,1
1,329,427,57,4.2,2262,1
1,329,427,57,4.2,2263,1
1,329,427,57,4.2,2262,1
1,546,445,89,4.0,1396,1
1,546,445,89,4.0,1396,1
4,67,193,35,3.9,2162,1
2,430,105,63,3.5,83996,1
4,285,307,23,3.7,4200,1
1,36,169,38,4.3,11074,1
4,17,164,45,4.1,618,1
